"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.167967121E2,6.501145826E1,2.550257586E1,1.645037648E1,3.391473389E1,1.559999943E0,1.720000076E1,4.112719339E-1,3.790092468E0,2.500000000E0,3.600000000E1
1.177945002E2,6.501146902E1,2.550258381E1,1.633928778E1,3.380364990E1,9.499999881E-1,1.389999962E1,4.127717656E-1,3.790092468E0,2.500000000E0,3.500000000E1
1.187935380E2,6.501148246E1,2.550258651E1,1.610429738E1,3.356866455E1,1.909999967E0,3.541000061E2,4.153199495E-1,3.790092468E0,2.500000000E0,3.500000000E1
1.197954696E2,6.501150536E1,2.550258856E1,1.553611281E1,3.300048828E1,2.880000114E0,0.000000000E0,4.171284843E-1,3.790092468E0,2.500000000E0,3.600000000E1
1.207956705E2,6.501152162E1,2.550258765E1,1.588480104E1,3.334918213E1,8.500000238E-1,1.100000024E0,4.181406144E-1,3.790092468E0,2.500000000E0,3.600000000E1
1.217937835E2,6.501153071E1,2.550258653E1,1.606173889E1,3.352612305E1,1.149999976E0,8.000000119E-1,4.193223652E-1,3.790092468E0,2.500000000E0,3.600000000E1
1.227973429E2,6.501154133E1,2.550258749E1,1.563986004E1,3.310424805E1,1.039999962E0,8.000000119E-1,4.206729674E-1,3.790092468E0,2.500000000E0,3.600000000E1
1.237962912E2,6.501155344E1,2.550258971E1,1.624910845E1,3.371350098E1,1.360000014E0,4.000000060E-1,4.221182690E-1,3.790092468E0,2.500000000E0,3.600000000E1
1.247992167E2,6.501156530E1,2.550260230E1,1.669905398E1,3.416345215E1,1.399999976E0,4.609999847E1,4.236902737E-1,3.790092468E0,2.500000000E0,3.600000000E1
1.257998942E2,6.501157433E1,2.550262805E1,1.709901117E1,3.456341553E1,1.570000052E0,5.750000000E1,4.252769108E-1,3.790092468E0,2.500000000E0,3.600000000E1
1.267955078E2,6.501157868E1,2.550266022E1,1.721509475E1,3.467950439E1,1.330000043E0,4.690000153E1,4.268311860E-1,3.790092468E0,2.500000000E0,3.600000000E1
1.277976566E2,6.501157944E1,2.550269326E1,1.686615263E1,3.433056641E1,1.379999995E0,8.650000000E1,4.284149119E-1,3.790092468E0,2.500000000E0,3.600000000E1
