"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.449941768E2,6.503747773E1,2.554851741E1,1.685934007E1,3.433728027E1,1.580000043E0,2.361000061E2,6.075324864E-1,3.790092468E0,2.500000000E0,2.600000000E1
1.459895480E2,6.503746988E1,2.554848910E1,1.685098346E1,3.432891846E1,1.649999976E0,2.353999939E2,6.092175107E-1,3.790092468E0,2.500000000E0,2.600000000E1
1.469944492E2,6.503746118E1,2.554845970E1,1.718778103E1,3.466571045E1,1.720000029E0,2.338000031E2,6.109676216E-1,3.790092468E0,2.500000000E0,2.700000000E1
1.479948816E2,6.503745187E1,2.554842963E1,1.730344849E1,3.478137207E1,1.710000038E0,2.371000061E2,6.125742297E-1,3.790092468E0,2.500000000E0,2.700000000E1
1.489896656E2,6.503744396E1,2.554840098E1,1.693620521E1,3.441412354E1,1.529999971E0,2.361000061E2,6.139673344E-1,3.790092468E0,2.500000000E0,2.800000000E1
1.499901873E2,6.503743701E1,2.554837628E1,1.688231574E1,3.436022949E1,1.279999971E0,2.371000061E2,6.148973346E-1,3.790092468E0,2.500000000E0,2.800000000E1
1.509932699E2,6.503743239E1,2.554835976E1,1.662456733E1,3.410247803E1,6.399999857E-1,2.371000061E2,6.162156809E-1,3.790092468E0,2.500000000E0,2.800000000E1
1.519951748E2,6.503742571E1,2.554833655E1,1.679705702E1,3.427496338E1,1.919999957E0,2.356000061E2,6.176044290E-1,3.790092468E0,2.500000000E0,2.900000000E1
1.529900377E2,6.503741878E1,2.554831193E1,1.590594830E1,3.338385010E1,9.700000286E-1,2.371000061E2,6.185680491E-1,3.790092468E0,2.500000000E0,2.900000000E1
1.539897677E2,6.503741443E1,2.554829417E1,1.576605881E1,3.324395752E1,9.200000167E-1,2.371000061E2,6.199714792E-1,3.790092468E0,2.500000000E0,2.900000000E1
1.549892097E2,6.503740764E1,2.554826896E1,1.643976944E1,3.391766357E1,1.590000033E0,2.350000000E2,6.216229878E-1,3.790092468E0,2.500000000E0,2.700000000E1
1.559927784E2,6.503739925E1,2.554823992E1,1.596132030E1,3.343920898E1,1.480000019E0,2.328999939E2,6.231902947E-1,3.790092468E0,2.500000000E0,2.800000000E1
1.569913812E2,6.503739100E1,2.554821284E1,1.614259993E1,3.362048340E1,1.379999995E0,2.360000000E2,6.246326114E-1,3.790092468E0,2.500000000E0,2.800000000E1
1.579934256E2,6.503738295E1,2.554818874E1,1.628884503E1,3.376672363E1,1.350000024E0,2.340000000E2,6.262753973E-1,3.790092468E0,2.500000000E0,2.700000000E1
1.589908620E2,6.503737339E1,2.554816205E1,1.656833060E1,3.404620361E1,1.649999976E0,2.311000061E2,6.278527324E-1,3.790092468E0,2.500000000E0,2.700000000E1
1.599914068E2,6.503736388E1,2.554813711E1,1.671634626E1,3.419421387E1,1.399999976E0,2.271999969E2,6.291884248E-1,3.790092468E0,2.500000000E0,2.600000000E1
1.609886306E2,6.503735596E1,2.554811571E1,1.606711987E1,3.354498291E1,1.190000057E0,2.271999969E2,6.307561937E-1,3.790092468E0,2.500000000E0,2.600000000E1
