"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.023625164E0,6.334198713E-1,5.870858431E-1,-2.703478813E0,2.838078261E0
1.028610320E0,6.014152169E-1,5.963152647E-1,-2.723574162E0,2.852218149E0
1.033595112E0,5.489392281E-1,6.267366409E-1,-2.686955929E0,2.813159302E0
1.038579851E0,4.823764563E-1,7.163097858E-1,-2.608294964E0,2.747542424E0
1.043564643E0,3.635681272E-1,8.404901028E-1,-2.521104813E0,2.682270470E0
1.048549382E0,2.570483088E-1,9.723882675E-1,-2.380059719E0,2.583853139E0
1.053534174E0,1.102199554E-1,1.099823236E0,-2.235445023E0,2.493787088E0
1.058519330E0,-1.487493515E-2,1.124894977E0,-2.130152225E0,2.408974569E0
1.063504487E0,-6.863296032E-2,1.088502049E0,-1.951959133E0,2.235999028E0
1.068489591E0,-1.110104322E-1,1.040897369E0,-1.789384365E0,2.073086360E0
1.073474747E0,-1.510699987E-1,1.053524733E0,-1.649404526E0,1.962975241E0
1.078459851E0,-1.886693239E-1,1.106844306E0,-1.441261292E0,1.827001517E0
1.083445007E0,-2.783446908E-1,1.138495088E0,-1.208110809E0,1.683204848E0
1.088428341E0,-3.530210853E-1,1.198377728E0,-9.428491592E-1,1.565150984E0
1.093413497E0,-3.837438822E-1,1.286080480E0,-6.526765823E-1,1.492397095E0
1.098398601E0,-3.988241553E-1,1.320026994E0,-4.043359756E-1,1.437017589E0
1.103383757E0,-4.187628031E-1,1.386057377E0,-2.093992233E-1,1.462998760E0
1.108368862E0,-3.663535714E-1,1.478862047E0,-1.978969574E-2,1.523692727E0
1.113354018E0,-3.132856488E-1,1.488518834E0,1.669368744E-1,1.530262767E0
1.118337351E0,-2.582099438E-1,1.491991639E0,4.293375015E-1,1.573862166E0
1.123322507E0,-2.354764938E-1,1.570934653E0,5.737810135E-1,1.688937392E0
1.128307612E0,-1.954614520E-1,1.617478848E0,4.603290558E-1,1.693028600E0
1.133292768E0,-1.499501467E-1,1.678921580E0,3.408126831E-1,1.719713931E0
1.138277872E0,-5.726969242E-2,1.759666204E0,2.749767303E-1,1.781941966E0
1.143263028E0,3.744596243E-2,1.778265595E0,3.293848038E-1,1.808901622E0
1.148246309E0,7.429546118E-2,1.768634081E0,3.818063736E-1,1.810901001E0
1.153231466E0,9.137254953E-2,1.716750145E0,4.107341766E-1,1.767564021E0
1.158216570E0,7.659071684E-2,1.713407636E0,3.518724442E-1,1.750841535E0
1.163201726E0,-1.764500141E-2,1.667765617E0,2.246942520E-1,1.682926323E0
1.168186830E0,-1.223028898E-1,1.706582189E0,1.129159927E-1,1.714680957E0
1.173171987E0,-3.006300330E-1,1.741219878E0,2.070426941E-3,1.766983126E0
1.178155372E0,-5.250501037E-1,1.805204034E0,-1.198873520E-1,1.883829130E0
1.183140528E0,-7.129971385E-1,1.834273696E0,-2.291812897E-1,1.981274583E0
1.188125632E0,-8.423296213E-1,1.874226451E0,-3.188943863E-1,2.079407995E0
1.193110789E0,-9.432345629E-1,1.865686059E0,-3.988151550E-1,2.128269118E0
1.198095893E0,-9.711542130E-1,1.833097935E0,-4.643402100E-1,2.125794057E0
1.203081049E0,-9.842966795E-1,1.824421406E0,-4.774618149E-1,2.127280706E0
1.208064382E0,-9.948920608E-1,1.803840637E0,-4.360570908E-1,2.105658340E0
1.213049539E0,-1.002742171E0,1.816983104E0,-4.071626663E-1,2.114876095E0
1.218034643E0,-9.769162536E-1,1.797271967E0,-3.001422882E-1,2.067519597E0
1.223019799E0,-8.822850585E-1,1.742717505E0,-4.860782623E-2,1.953932943E0
1.228004903E0,-8.478730321E-1,1.667707801E0,1.512784958E-1,1.876971809E0
1.232990059E0,-8.466104865E-1,1.593852520E0,3.212795258E-1,1.833121847E0
1.237973393E0,-7.963032722E-1,1.495023012E0,5.236339569E-1,1.772959455E0
1.242958549E0,-6.964712143E-1,1.426155686E0,7.296733856E-1,1.746830113E0
1.247943653E0,-5.869259834E-1,1.355898619E0,9.061203003E-1,1.733204308E0
1.252928809E0,-5.947591066E-1,1.346149921E0,1.034180641E0,1.798718323E0
1.257913914E0,-5.918285251E-1,1.365459681E0,1.245368958E0,1.940537292E0
